127.0.0.1, 2019-11-14 20:11:55, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000511
127.0.0.1, 2019-11-14 20:12:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.014339
127.0.0.1, 2019-11-14 20:12:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000360
127.0.0.1, 2019-11-14 20:12:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000613
127.0.0.1, 2019-11-14 20:23:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001218
127.0.0.1, 2019-11-14 20:23:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000896
127.0.0.1, 2019-11-14 20:23:19, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000739
127.0.0.1, 2019-11-14 20:23:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.017450
127.0.0.1, 2019-11-14 20:23:46, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000454
127.0.0.1, 2019-11-14 20:23:46, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001334
127.0.0.1, 2019-11-14 20:23:46, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001209
127.0.0.1, 2019-11-14 20:23:46, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.001538
127.0.0.1, 2019-11-14 20:23:46, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000834
127.0.0.1, 2019-11-14 20:23:46, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001443
127.0.0.1, 2019-11-14 20:23:46, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000266
127.0.0.1, 2019-11-14 20:23:46, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000499
127.0.0.1, 2019-11-14 20:23:57, GET, /welcome/static/js/bootstrap.bundle.min.js.map, HTTP/1.1, 304, 0.000433
127.0.0.1, 2019-11-14 20:23:57, GET, /welcome/static/css/bootstrap.min.css.map, HTTP/1.1, 304, 0.000358
127.0.0.1, 2019-11-14 20:24:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.017137
127.0.0.1, 2019-11-14 20:24:40, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000366
127.0.0.1, 2019-11-14 20:24:40, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001801
127.0.0.1, 2019-11-14 20:25:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.013487
127.0.0.1, 2019-11-14 20:25:01, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000673
127.0.0.1, 2019-11-14 20:25:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000777
127.0.0.1, 2019-11-14 20:25:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.013511
127.0.0.1, 2019-11-14 20:25:15, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000270
127.0.0.1, 2019-11-14 20:25:15, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000480
127.0.0.1, 2019-11-14 20:25:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.011514
127.0.0.1, 2019-11-14 20:25:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000383
127.0.0.1, 2019-11-14 20:26:25, GET, /welcome/default/grid/auth_user, HTTP/1.1, 200, 0.096691
127.0.0.1, 2019-11-14 20:26:33, GET, /welcome/default/grid/auth_user/auth_user, HTTP/1.1, 200, 0.023549
127.0.0.1, 2019-11-14 20:35:39, GET, /welcome/default/grid/auth_user/auth_user, HTTP/1.1, 200, 0.019221
127.0.0.1, 2019-11-14 20:35:39, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000436
127.0.0.1, 2019-11-14 20:35:42, GET, /, HTTP/1.1, 303, 0.000281
127.0.0.1, 2019-11-14 20:35:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.014899
127.0.0.1, 2019-11-14 20:35:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.013856
127.0.0.1, 2019-11-14 20:35:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000490
127.0.0.1, 2019-11-14 20:38:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.012945
127.0.0.1, 2019-11-14 20:38:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000416
127.0.0.1, 2019-11-14 20:39:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.014142
127.0.0.1, 2019-11-14 20:39:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000301
127.0.0.1, 2019-11-14 20:39:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000400
127.0.0.1, 2019-11-14 20:39:04, GET, /welcome/default/user/register, HTTP/1.1, 404, 0.009883
127.0.0.1, 2019-11-14 20:39:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000202
127.0.0.1, 2019-11-14 20:39:06, GET, /welcome/default/grid/auth_user/auth_user, HTTP/1.1, 404, 0.009684
127.0.0.1, 2019-11-14 20:39:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
